,c_TotalGFA_mean,distanceCenter,angleCenter,BuildingAge,NumberofFloors,NumberofBuildings_mean,ENERGYSTARScore_mean,c_PropertyType_<K-12 School>,c_PropertyType_<Retail Store>,c_PropertyType_<Small- and Mid-Sized Office>,c_PropertyType_<Entertainment/Public Assembly>,c_PropertyType_<Large Office>,c_PropertyType_<Warehouse>,c_PropertyType_<Medical Office>,c_PropertyType_<Other>,c_PropertyType_<Mixed Use Property>,c_PropertyType_<Worship Facility>,c_PropertyType_<Restaurant>,c_PropertyType_<Hospital>,c_PropertyType_<Hotel>,c_PropertyType_<University>,c_PropertyType_<Self-Storage Facility>,c_PropertyType_<Office>,c_PropertyType_<Senior Care Community>,c_PropertyType_<Distribution Center>,c_PropertyType_<Parking>,c_PropertyType_<Data Center>,c_PropertyType_<Laboratory>,c_PropertyType_<Supermarket/Grocery Store>,c_PropertyType_<Refrigerated Warehouse>,c_PropertyType_<Manufacturing/Industrial Plant>,c_MainEnergy_<NaturalGas(kBtu)>,c_MainEnergy_<Electricity(kBtu)>,c_MainEnergy_<SteamUse(kBtu)>,GHGEmissions_mean,SiteEnergyUse_comp_mean
3389,1111880.0,0.7581617228255035,121.57337042161875,34,34.0,1.0,61.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.881871424424679,18.233320671128194
3390,64674.0,1.3965121351152032,156.9913024846182,31,7.0,1.0,98.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8721775009486885,15.463093316552712
3391,122810.0,1.4508680664951417,150.17723274327855,108,7.0,1.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.387014821309323,15.472613621024935
3392,91900.0,2.289067145692677,134.03758284156572,57,5.0,1.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.888542986851774,15.451854533936803
3393,110547.0,2.1970468680073703,130.8359329226855,16,7.0,1.0,83.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.2769149602876,15.72046641208135
3394,116790.0,2.246380044932385,131.24915668036553,19,6.0,1.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.113191882421348,15.593999613458452
3395,155602.0,3.707303991505475,152.93693100779754,18,6.0,1.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.041326141417053,15.743575277447498
3396,56072.0,4.072107879283674,53.29187662311431,105,3.0,1.0,76.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.962704760338706,14.969516398463599
3397,122942.0,2.7741835949966234,126.21445326125922,17,4.0,1.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.139116455744796,15.48455704680368
3398,54984.0,2.2802014622504205,8.889976028305659,54,2.0,1.0,68.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.4629727802782915,15.051019528646474
3399,296313.0,7.421281008468259,224.39356071384944,94,5.0,1.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.491631530395824,17.602955082157106
3400,93397.0,13.570005117091712,102.38275899150229,46,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.406137135967059,16.612016165166267
3401,84103.0,1.6673561937255466,98.7845091510022,8,6.0,1.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.256321678298823,15.161679947212173
3402,65568.0,11.859705600001485,243.39194552466796,68,2.0,1.0,89.59601409262336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4327007339340465,13.306039017014212
3403,179014.0,1.2449166730047856,41.23021621513244,51,3.0,0.5,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.209213574104885,16.693872035879288
3404,76631.0,0.5414480616728701,53.593711252134554,108,7.0,1.0,47.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.557580674168606,15.79587741171217
3405,78062.0,0.5377492994848552,44.488967704246086,33,6.0,1.0,17.92235749760077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.138148131727295,16.547089654149815
3406,72072.0,2.131158555581717,115.42992812922917,87,2.0,1.0,95.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6731310971457973,13.875637644265733
3407,427691.0,2.25680134231099,109.0964675304873,6,5.0,1.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.904830235199279,16.42179853954693
3408,287325.0,2.405441533786962,99.12312526307039,26,7.0,1.0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.2500041993691795,16.767522944243176
3409,368000.0,3.2860912768285124,144.8380305473432,54,1.0,1.0,56.39415597460865,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.527899436380392,17.04509634588411
3411,278500.0,3.2860912768285124,144.8380305473432,78,5.0,1.0,58.033536703718184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.748179074243112,16.91111330191869
3412,935703.0,1.9251576234026975,111.94398033865242,6,12.0,1.0,90.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.441329242512831,17.52102688611219
